[2019-02-25 20:57:33,793][INFO][epoch:32	loss:tensor(0.2458, device='cuda:0')]
[2019-02-25 20:57:34,203][INFO][LCC:tensor(0.0078, grad_fn=<DivBackward1>)]
[2019-02-25 20:57:49,313][INFO][epoch:33	loss:tensor(0.2335, device='cuda:0')]
[2019-02-25 20:57:49,742][INFO][LCC:tensor(0.0141, grad_fn=<DivBackward1>)]
[2019-02-25 20:58:04,652][INFO][epoch:34	loss:tensor(0.2397, device='cuda:0')]
[2019-02-25 20:58:05,041][INFO][LCC:tensor(-0.0261, grad_fn=<DivBackward1>)]
[2019-02-25 20:58:20,027][INFO][epoch:35	loss:tensor(0.2392, device='cuda:0')]
[2019-02-25 20:58:20,430][INFO][LCC:tensor(-0.1794, grad_fn=<DivBackward1>)]
[2019-02-25 20:58:35,393][INFO][epoch:36	loss:tensor(0.2393, device='cuda:0')]
[2019-02-25 20:58:35,803][INFO][LCC:tensor(-0.0129, grad_fn=<DivBackward1>)]
[2019-02-25 20:58:50,771][INFO][epoch:37	loss:tensor(0.2390, device='cuda:0')]
[2019-02-25 20:58:51,177][INFO][LCC:tensor(0.0323, grad_fn=<DivBackward1>)]
[2019-02-25 20:59:06,136][INFO][epoch:38	loss:tensor(0.2367, device='cuda:0')]
[2019-02-25 20:59:06,548][INFO][LCC:tensor(0.0475, grad_fn=<DivBackward1>)]
[2019-02-25 20:59:21,558][INFO][epoch:39	loss:tensor(0.2354, device='cuda:0')]
[2019-02-25 20:59:21,975][INFO][LCC:tensor(0.0121, grad_fn=<DivBackward1>)]
[2019-02-25 20:59:36,825][INFO][epoch:40	loss:tensor(0.2325, device='cuda:0')]
[2019-02-25 20:59:37,228][INFO][LCC:tensor(0.1012, grad_fn=<DivBackward1>)]
[2019-02-25 20:59:52,266][INFO][epoch:41	loss:tensor(0.2371, device='cuda:0')]
[2019-02-25 20:59:52,674][INFO][LCC:tensor(-0.0000, grad_fn=<DivBackward1>)]
[2019-02-25 21:00:07,661][INFO][epoch:42	loss:tensor(0.2366, device='cuda:0')]
[2019-02-25 21:00:08,063][INFO][LCC:tensor(-0.0000, grad_fn=<DivBackward1>)]
[2019-02-25 21:00:23,164][INFO][epoch:43	loss:tensor(0.2374, device='cuda:0')]
[2019-02-25 21:00:23,570][INFO][LCC:tensor(-0.0000, grad_fn=<DivBackward1>)]
[2019-02-25 21:00:38,480][INFO][epoch:44	loss:tensor(0.2345, device='cuda:0')]
[2019-02-25 21:00:38,874][INFO][LCC:tensor(-0.0000, grad_fn=<DivBackward1>)]
[2019-02-25 21:00:54,062][INFO][epoch:45	loss:tensor(0.2371, device='cuda:0')]
[2019-02-25 21:00:54,486][INFO][LCC:tensor(-0.0000, grad_fn=<DivBackward1>)]
[2019-02-25 21:01:09,446][INFO][epoch:46	loss:tensor(0.2360, device='cuda:0')]
[2019-02-25 21:01:09,849][INFO][LCC:tensor(nan, grad_fn=<DivBackward1>)]
[2019-02-25 21:01:24,948][INFO][epoch:47	loss:tensor(0.2329, device='cuda:0')]
[2019-02-25 21:01:25,341][INFO][LCC:tensor(-0.0000, grad_fn=<DivBackward1>)]
[2019-02-25 21:01:40,392][INFO][epoch:48	loss:tensor(0.2364, device='cuda:0')]
[2019-02-25 21:01:40,800][INFO][LCC:tensor(-0.0000, grad_fn=<DivBackward1>)]
[2019-02-25 21:01:55,834][INFO][epoch:49	loss:tensor(0.2354, device='cuda:0')]
[2019-02-25 21:01:56,246][INFO][LCC:tensor(5.5256e-07, grad_fn=<DivBackward1>)]
[2019-02-25 21:02:11,166][INFO][epoch:50	loss:tensor(0.2365, device='cuda:0')]
[2019-02-25 21:02:11,562][INFO][LCC:tensor(nan, grad_fn=<DivBackward1>)]
[2019-02-25 21:02:26,516][INFO][epoch:51	loss:tensor(0.2370, device='cuda:0')]
[2019-02-25 21:02:26,913][INFO][LCC:tensor(nan, grad_fn=<DivBackward1>)]
[2019-02-25 21:02:41,847][INFO][epoch:52	loss:tensor(0.2377, device='cuda:0')]
[2019-02-25 21:02:42,264][INFO][LCC:tensor(-0.0000, grad_fn=<DivBackward1>)]
