[2019-03-15 19:14:02,679][WARNING][Model:Try ResNet.]
[2019-03-15 19:14:06,105][INFO][epoch:0	loss:tensor(8.5385, device='cuda:0')]
[2019-03-15 19:14:07,896][INFO][epoch:1	loss:tensor(2.6630, device='cuda:0')]
[2019-03-15 19:14:09,643][INFO][epoch:2	loss:tensor(2.1612, device='cuda:0')]
[2019-03-15 19:14:11,398][INFO][epoch:3	loss:tensor(1.9360, device='cuda:0')]
[2019-03-15 19:14:13,165][INFO][epoch:4	loss:tensor(2.0715, device='cuda:0')]
[2019-03-15 19:14:14,903][INFO][epoch:5	loss:tensor(1.8698, device='cuda:0')]
[2019-03-15 19:14:16,666][INFO][epoch:6	loss:tensor(1.7435, device='cuda:0')]
[2019-03-15 19:14:18,428][INFO][epoch:7	loss:tensor(1.8316, device='cuda:0')]
[2019-03-15 19:14:20,191][INFO][epoch:8	loss:tensor(1.5308, device='cuda:0')]
[2019-03-15 19:14:21,980][INFO][epoch:9	loss:tensor(1.2953, device='cuda:0')]
[2019-03-15 19:14:23,732][INFO][epoch:10	loss:tensor(1.2301, device='cuda:0')]
